,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday,hr_sin,hr_cos,day_sin,day_cos,date
0,Bronx,152,5,10,-1.111111111,7,1023.5,0,0,0,0,1,0.629409523,0.982962913,0.71694187,0.049515566,1/1/2015
1,Brooklyn,1519,5,10,-1.111111111,7,1023.5,0,0,0,0,1,0.629409523,0.982962913,0.71694187,0.049515566,1/1/2015
2,Manhattan,5258,5,10,-1.111111111,7,1023.5,0,0,0,0,1,0.629409523,0.982962913,0.71694187,0.049515566,1/1/2015
3,Queens,405,5,10,-1.111111111,7,1023.5,0,0,0,0,1,0.629409523,0.982962913,0.71694187,0.049515566,1/1/2015
4,Bronx,120,3,10,-1.111111111,6,1023,0,0,0,0,1,0.75,0.933012702,0.71694187,0.049515566,1/1/2015
5,Brooklyn,1229,3,10,-1.111111111,6,1023,0,0,0,0,1,0.75,0.933012702,0.71694187,0.049515566,1/1/2015
6,Manhattan,4345,3,10,-1.111111111,6,1023,0,0,0,0,1,0.75,0.933012702,0.71694187,0.049515566,1/1/2015
7,Queens,331,3,10,-1.111111111,6,1023,0,0,0,0,1,0.75,0.933012702,0.71694187,0.049515566,1/1/2015
8,Bronx,132,5,10,-1.111111111,8,1022.3,0,0,0,0,1,0.853553391,0.853553391,0.71694187,0.049515566,1/1/2015
9,Brooklyn,1601,5,10,-1.111111111,8,1022.3,0,0,0,0,1,0.853553391,0.853553391,0.71694187,0.049515566,1/1/2015
10,Manhattan,4577,5,10,-1.111111111,8,1022.3,0,0,0,0,1,0.853553391,0.853553391,0.71694187,0.049515566,1/1/2015
11,Queens,440,5,10,-1.111111111,8,1022.3,0,0,0,0,1,0.853553391,0.853553391,0.71694187,0.049515566,1/1/2015
12,Bronx,128,5,10,-1.666666667,9,1022,0,0,0,0,1,0.933012702,0.75,0.71694187,0.049515566,1/1/2015
13,Brooklyn,1390,5,10,-1.666666667,9,1022,0,0,0,0,1,0.933012702,0.75,0.71694187,0.049515566,1/1/2015
14,Manhattan,3003,5,10,-1.666666667,9,1022,0,0,0,0,1,0.933012702,0.75,0.71694187,0.049515566,1/1/2015
15,Queens,344,5,10,-1.666666667,9,1022,0,0,0,0,1,0.933012702,0.75,0.71694187,0.049515566,1/1/2015
16,Bronx,87,5,10,-2.222222222,9,1021.8,0,0,0,0,1,0.982962913,0.629409523,0.71694187,0.049515566,1/1/2015
